Title,Author,weeks on bestseller list
IDENTICAL,Scott Turow,3
REVENGE WEARS PRADA,Lauren Weisberger,3
THE LOST YEARS,Mary Higgins Clark,3
ONE FOR THE MONEY,Janet Evanovich,3
THE JAPANESE LOVER,Isabel Allende,3
PRODIGAL SON,Danielle Steel,3
LABOR DAY,Joyce Maynard,3
MIRAGE,Clive Cussler with Jack Du Brul,3
STANDUP GUY,Stuart Woods,3
THE EMPEROR'S REVENGE,Clive Cussler and Boyd Morrison,3
WOMAN OF GOD,James Patterson and Maxine Paetro,3
BAY OF SIGHS,Nora Roberts,3
THE LAST ORIGINAL WIFE,Dorothea Benton Frank,3
THE FIFTH ASSASSIN,Brad Meltzer,3
LITTLE BEE,Chris Cleave,3
THE TRIAL,James Patterson with Maxine Paetro,3
A KNIGHT OF THE SEVEN KINGDOMS,George R R Martin,3
THE FINAL CUT,Catherine Coulter and JT Ellison,3
THE INNER CIRCLE,Brad Meltzer,3
THE BOOTLEGGER,Clive Cussler and Justin Scott,3
THE TOMBS,Clive Cussler and Thomas Perry,3
THE LOWLAND,Jhumpa Lahiri,3
CRASH AND BURN,Lisa Gardner,3
WRONG,Jana Aston,3
THE CHASE,Janet Evanovich and Lee Goldberg,3
FESTIVE IN DEATH,J D Robb,3
PULSE,Gail McHugh,3
JOYLAND,Stephen King,3
FLY AWAY,Kristin Hannah,3
CARNAL CURIOSITY,Stuart Woods,3
MISSING,James Patterson and Kathryn Fox,3
BREAKDOWN,Jonathan Kellerman,3
NEMESIS,Catherine Coulter,3
KEEP QUIET,Lisa Scottoline,3
THE STRANGER,Kyra Davis,3
RIGHT BEHIND YOU,Lisa Gardner,3
BLUE LABYRINTH,Douglas Preston and Lincoln Child,3
INSIDIOUS,Catherine Coulter,3
THE THIEF,Clive Cussler and Justin Scott,3
SHADOW OF NIGHT,Deborah Harkness,3
WAIT FOR ME,Elisabeth Naughton,3
WE ARE WATER,Wally Lamb,3
STRATEGIC MOVES,Stuart Woods,3
