Title,Author,weeks on bestseller list
ECHOES AT DAWN,Maya Banks,1
THE EMPTY THRONE,Bernard Cornwell,1
AN OBVIOUS FACT,Craig Johnson,1
BLOOD FLAG,Steve Martini,1
WILD WOLF,Jennifer Ashley,1
NO TIME LEFT,David Baldacci,1
BARKSKINS,Annie Proulx,1
STARRY NIGHT,Debbie Macomber,1
COUNTDOWN,Fern Michaels,1
THE LADY RISKS ALL,Stephanie Laurens,1
ARCHANGEL’S STORM,Nalini Singh,1
HARD TO HOLD ON TO,Laura Kaye,1
WARRIORS OF THE STORM,Bernard Cornwell,1
HIDE AWAY,Iris Johansen,1
SECONDHAND SOULS,Christopher Moore,1
PEGASUS,Danielle Steel,1
LOVE LEFT BEHIND,SH Kolee,1
CLOSE YOUR EYES,Iris Johansen and Roy Johansen,1
LEARNING,Karen Kingsbury,1
ONE SNOWY NIGHT,Jill Shalvis,1
EYES ONLY,Fern Michaels,1
SAFE AT LAST,Maya Banks,1
IMMORTAL NIGHTS,Lynsay Sands,1
SOMEONE TO LOVE,Mary Balogh,1
WE ARE NOT OURSELVES,Matthew Thomas,1
A DIFFERENT BLUE,Amy Harmon,1
WITH THIS KISS,Eloisa James,1
WISHES FOR CHRISTMAS,Fern Michaels,1
THE SECRET SOLDIER,Alex Berenson,1
WHEN I'M GONE,Abbi Glines,1
REAPER'S STAND,Joanna Wylde,1
YOU SHOULD HAVE KNOWN,Jean Hanff Korelitz,1
HOW THE LIGHT GETS IN,Louise Penny,1
THEIR VIRGIN SECRETARY,Shayla Black and Lexi Blake,1
THE ARRANGEMENT 13,H M Ward,1
A MATCH FOR MARCUS CYNSTER,Stephanie Laurens,1
THE BOLEYN INHERITANCE,Philippa Gregory,1
SEX_ LIES  AND SERIOUS MONEY,Stuart Woods,1
ROBERT B. PARKER’S DAMNED IF YOU DO,Michael Brandman,1
VISCOUNT BRECKENRIDGE TO THE RESCUE,Stephanie Laurens,1
THE UNDEAD POOL,Kim Harrison,1
THE OMEN MACHINE,Terry Goodkind,1
HIT LIST,Laurell K Hamilton,1
IS THIS TOMORROW,Caroline Leavitt,1
THE HIGHWAY,C  J Box,1
FALLEN,Karin Slaughter,1
THE FIX UP,Kendall Ryan,1
GIVING IN,Maya Banks,1
BEAUTIFUL PLAYER,Christina Lauren,1
SHATTERED,Kevin Hearne,1
COPPER BEACH,Jayne Ann Krentz,1
DEEPLY ODD,Dean Koontz,1
OUT OF OZ,Gregory Maguire,1
RIDE STEADY,Kristen Ashley,1
THE MISTLETOE PROMISE,Richard Paul Evans,1
THE INSIDER THREAT,Brad Taylor,1
WICKED APPETITE,Janet Evanovich,1
YOU DON’T WANT TO KNOW,Lisa Jackson,1
SLOW BURN,K Bromberg,1
GONE - PART THREE,Deborah Bladon,1
BROKEN TRUST,WEB Griffin and William E Butterworth,1
THE TRUTH ACCORDING TO US,Annie Barrows,1
TWO GRAVES,Douglas Preston and Lincoln Child,1
THE NORTH WATER,Ian McGuire,1
AGAINST THE TIDE,Kat Martin,1
WINTER STREET,Elin Hilderbrand,1
WAITING FOR LOVE,Marie Force,1
RECONSTRUCTING AMELIA,Kimberly McCreight,1
SAVOR THE DANGER,Lori Foster,1
JAGGED,Kristen Ashley,1
TOWERS OF MIDNIGHT,Robert Jordan and Brandon Sanderson,1
INHERIT THE DEAD,Lee Child,1
FATAL JEOPARDY,Marie Force,1
VAMPIRE MOST WANTED,Lynsay Sands,1
SERVICING THE TARGET,Cherise Sinclair,1
ADDICTED,Zane,1
HOLIDAY TREASURE,Melody Anne,1
FLOWERS IN THE ATTIC,VC Andrews,1
BONE DEEP,Randy Wayne White,1
THE TROUBLED MAN,Henning Mankell,1
THE CHRISTMAS MYSTERY,James Patterson with Richard DiLallo,1
RAIN ON THE DEAD,Jack Higgins,1
THE STRIKER,Clive Cussler and Justin Scott,1
THIRTY-FIVE AND A HALF CONSIPIRACIES,Denise Grover Swank,1
COMPLETE ME,J Kenner,1
ODD THOMAS: YOU ARE DESTINED TO BE TOGETHER FOREVER,Dean Koontz,1
TRIGGER WARNING,Neil Gaiman,1
THE MISTLETOE INN,Richard Paul Evans,1
FOREVER AND A DAY,Jill Shalvis,1
THE SPYMASTERS,W E B Griffin and William E Butterworth IV,1
THE DEAD IN THEIR VAULTED ARCHES,Alan Bradley,1
UNTIL JULY,Aurora Rose Reynolds,1
THE MARRIAGE PACT,Linda Lael Miller,1
COLD-HEARTED RAKE,Lisa Kleypas,1
THE EDGE OF ALWAYS,J A Redmerski,1
A STEP OF FAITH,Richard Paul Evans,1
THE FIXER,Joseph Finder,1
THE BROKEN EYE,Brent Weeks,1
PLAYBOY PILOT,Penelope Ward and Vi Keeland,1
THE MYSTERY WOMAN,Amanda Quick,1
DAMAGED,Lisa Scottoline,1
AFFLICTION,Laurell K Hamilton,1
NO GOOD DEED,Allison Brennan,1
FORCE OF NATURE,C J Box,1
SAY YOU WANT ME,Corinne Michaels,1
LUCKY 7 BAD BOYS CONTEMPORARY ROMANCE BOXED SET,Tawny Weber,1
BETWEEN SISTERS,Kristin Hannah,1
RIVERBEND ROAD,Raeanne Thayne,1
LEXIE STARR COZY MYSTERIES BOXED SET,Jeanne Glidewell,1
TAKING IT ALL,Maya Banks,1
TOWER LORD,Anthony Ryan,1
JUST TO BE WITH YOU,Bella Andre,1
THE SEVENTH PLAGUE,James Rollins,1
MENDED,Sydney Landon,1
THE AUSCHWITZ ESCAPE,Joel C Rosenberg,1
THE LAST WITNESS,WEB Griffin and William E Butterworth IV,1
REMY,Katy Evans,1
THE LOST GIRLS,Allison Brennan,1
GIDEON’S CORPSE,Douglas Preston and Lincoln Child,1
MOST WANTED,Lisa Scottoline,1
THE SCORE,Elle Kennedy,1
